"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Both"," [kg]",702575731.079609,33729039.5960747,0.0570535841663922
"1","1983","Both"," [kg]",860379313.768751,48715411.1409263,0.0677626048036812
"1","1984","Both"," [kg]",698820267.11861,31396524.916376,0.0530264347787047
"1","1985","Both"," [kg]",880975390.517064,34860869.0367793,0.0465439514047158
"1","1986","Both"," [kg]",880624478.120729,36152063.1038047,0.0483343948325334
"1","1987","Both"," [kg]",809588770.02801,40338230.3143141,0.0595957857235634
"1","1988","Both"," [kg]",539312931.869856,20569770.9320597,0.0443884601380958
"1","1989","Both"," [kg]",352842432.047015,16330364.0802754,0.0543613150426523
"1","1990","Both"," [kg]",467872325.583327,20689616.2847416,0.0515146031515565
"1","1991","Both"," [kg]",507631989.24666,22844013.5597603,0.0523506205689841
"1","1992","Both"," [kg]",549922100.638727,27435752.039024,0.0585638526137094
"1","1993","Both"," [kg]",801640934.214821,38452017.7957603,0.056376604590382
"1","1994","Both"," [kg]",1127592808.93626,47884628.4969434,0.0495529694060545
"1","1995","Both"," [kg]",706683173.99179,29375303.7200703,0.0484808056525185
"1","1996","Both"," [kg]",602297086.668552,29129813.4583116,0.0571907127815457
"1","1997","Both"," [kg]",506322465.28312,22791517.1624371,0.0531427851667717
"1","1998","Both"," [kg]",608201384.794502,34650289.4713177,0.0676219169727296
"1","1999","Both"," [kg]",519310741.934211,24473661.5346254,0.0554211832971057
"1","2000","Both"," [kg]",501131143.70996,22107353.6169412,0.0515126480255013
"1","2001","Both"," [kg]",992176606.574313,44669218.095437,0.0524951041745075
"1","2002","Both"," [kg]",617782210.28445,34012421.8681013,0.0648789500517898
"1","2003","Both"," [kg]",606001932.075682,36255982.3810432,0.0715012961079722
"1","2004","Both"," [kg]",470729718.315289,27181278.1925655,0.0678070902723812
"1","2005","Both"," [kg]",491961735.650148,24887124.0677744,0.0595533097206348
"1","2006","Both"," [kg]",431419722.195043,17010701.1098688,0.045844464991085
"1","2007","Both"," [kg]",569314816.711838,24969790.6263908,0.0513526854346648
"1","2008","Both"," [kg]",477256366.12345,21497677.744589,0.0526743852632246
"1","2009","Both"," [kg]",711197650.060059,28230665.187248,0.0463787502870781
"1","2010","Both"," [kg]",730833419.55998,30908759.8588487,0.0486736118784911
"1","2011","Both"," [kg]",843817981.773935,35092100.8825057,0.0485840848978597
"1","2012","Both"," [kg]",1024512202.70736,52242677.7796677,0.0604033235158917
"1","2013","Both"," [kg]",740722962.890996,35181620.8209576,0.0558702712356292
"1","2014","Both"," [kg]",1228295617.0456,70402312.0574862,0.0684470648238927
"1","2015","Both"," [kg]",1083813908.37104,60888669.6474578,0.0669967978247566
"1","2016","Both"," [kg]",917577201.871839,69691474.2946034,0.0929328379307921
"1","2017","Both"," [kg]",512215069.512394,18699613.9361008,0.0428085511855458
"1","2018","Both"," [kg]",514572753.595598,26187816.3289094,0.0617089960574644
"1","2019","Both"," [kg]",756795102.617186,32534318.4943076,0.0508606363866917
"1","2020","Both"," [kg]",0.00437122984896014,0.00130693746084612,0.419276181883268
"1","2021","Both"," [kg]",597657377.88241,25229454.8627403,0.0496879914511693
"1","1982","EBS"," [kg]",633427517.325301,25975087.3279886,0.048005673054849
"1","1983","EBS"," [kg]",744479933.033574,33914155.6898357,0.0533353046223553
"1","1984","EBS"," [kg]",650123481.049385,26908672.242805,0.0482508931405162
"1","1985","EBS"," [kg]",802556017.016067,29992735.5195923,0.0434154220986269
"1","1986","EBS"," [kg]",834368394.646498,32793496.7464642,0.0458349889727772
"1","1987","EBS"," [kg]",708423317.658386,26900544.1906351,0.0444155088303947
"1","1988","EBS"," [kg]",507842133.462853,19913785.5217011,0.0454336346736755
"1","1989","EBS"," [kg]",326190084.477389,14166310.9213362,0.0503494307131089
"1","1990","EBS"," [kg]",439148708.415136,18632577.4066135,0.0489272434005605
"1","1991","EBS"," [kg]",476362853.327021,21918738.6085497,0.0531975985446494
"1","1992","EBS"," [kg]",530192863.667493,26382971.7893482,0.0580422376485245
"1","1993","EBS"," [kg]",746608533.897707,34590751.0893077,0.0538140410817023
"1","1994","EBS"," [kg]",1099031242.43757,46580752.5436965,0.0491929437790325
"1","1995","EBS"," [kg]",687821475.973387,28393945.873526,0.0478592006746476
"1","1996","EBS"," [kg]",552347779.579494,23549561.5769966,0.0495001114034814
"1","1997","EBS"," [kg]",469695986.21843,19063977.2395824,0.0471891625079879
"1","1998","EBS"," [kg]",548254950.414735,29182306.2960879,0.0619154164595021
"1","1999","EBS"," [kg]",509645561.432845,24114845.1234575,0.0553752760303554
"1","2000","EBS"," [kg]",480144084.248651,20786230.5824722,0.0501081500097233
"1","2001","EBS"," [kg]",961272376.44932,43187949.1451213,0.0520385125651553
"1","2002","EBS"," [kg]",574148774.453774,31167933.8772953,0.0630741480910283
"1","2003","EBS"," [kg]",546573527.923635,31088186.174378,0.0665464175860509
"1","2004","EBS"," [kg]",439167669.891758,25251783.3121237,0.0665790533385079
"1","2005","EBS"," [kg]",457241939.301983,22934247.7267179,0.0583170420499443
"1","2006","EBS"," [kg]",420029795.933163,16511850.7403164,0.0454690517322802
"1","2007","EBS"," [kg]",545746320.060172,23671968.5986186,0.05041047916535
"1","2008","EBS"," [kg]",465066522.12871,20992441.8871148,0.0525264673749051
"1","2009","EBS"," [kg]",684305071.718991,26795294.0993991,0.0454888390346072
"1","2010","EBS"," [kg]",721341651.102985,30877885.3587279,0.0492535560801598
"1","2011","EBS"," [kg]",798772309.767111,32190033.9142768,0.0467072081020208
"1","2012","EBS"," [kg]",1000583647.69335,51402761.8388438,0.0605626774139781
"1","2013","EBS"," [kg]",698185376.964409,32058736.8844553,0.053417497954977
"1","2014","EBS"," [kg]",1085536679.01872,54880810.6947609,0.0590339071034169
"1","2015","EBS"," [kg]",948836447.899807,45030677.2716989,0.0552477121134951
"1","2016","EBS"," [kg]",690308852.885576,31320220.0674163,0.0530282684365797
"1","2017","EBS"," [kg]",371279671.341523,15767173.6728087,0.0495474348317281
"1","2018","EBS"," [kg]",285866411.495005,14566709.2266284,0.0598563090687394
"1","2019","EBS"," [kg]",536889563.974013,28692941.8314412,0.0629247210942904
"1","2020","EBS"," [kg]",0.00388382890539024,0.0011912141868248,0.430084542432257
"1","2021","EBS"," [kg]",481140109.930181,23422479.9296743,0.0572127806294152
"1","1982","NBS"," [kg]",69148213.7543077,18414941.0859328,0.367577781383129
"1","1983","NBS"," [kg]",115899380.735178,30901842.4457169,0.372105174571725
"1","1984","NBS"," [kg]",48696786.0692243,13719681.0635208,0.398716907573923
"1","1985","NBS"," [kg]",78419373.5009958,16423535.7996049,0.282400947905051
"1","1986","NBS"," [kg]",46256083.4742301,12830969.2065144,0.394936816833793
"1","1987","NBS"," [kg]",101165452.369625,27644797.5378367,0.38823010917042
"1","1988","NBS"," [kg]",31470798.4070029,4558492.17887631,0.181622982495559
"1","1989","NBS"," [kg]",26652347.5696261,7143854.94743235,0.375118987235165
"1","1990","NBS"," [kg]",28723617.1681906,7595734.99500055,0.365107580950344
"1","1991","NBS"," [kg]",31269135.9196381,5449486.59947514,0.223883678012314
"1","1992","NBS"," [kg]",19729236.971233,5597961.61885533,0.401919468462814
"1","1993","NBS"," [kg]",55032400.3171123,14829930.1881288,0.377608605337209
"1","1994","NBS"," [kg]",28561566.4986883,9186297.40160698,0.472713842182313
"1","1995","NBS"," [kg]",18861698.0184028,6270763.14595217,0.496287587759597
"1","1996","NBS"," [kg]",49949307.0890578,16016717.9976195,0.476723160991516
"1","1997","NBS"," [kg]",36626479.0646902,11404232.4699219,0.458320962751832
"1","1998","NBS"," [kg]",59946434.3797677,17360151.2118861,0.422524332092322
"1","1999","NBS"," [kg]",9665180.50136562,3315744.8149379,0.542352733341712
"1","2000","NBS"," [kg]",20987059.4613087,6486144.99248959,0.452429276218126
"1","2001","NBS"," [kg]",30904230.1249934,10086903.7596984,0.48035665243783
"1","2002","NBS"," [kg]",43633435.8306765,12379800.0953084,0.411332602338553
"1","2003","NBS"," [kg]",59428404.1520452,17548730.6840948,0.439795226406753
"1","2004","NBS"," [kg]",31562048.4235312,9185938.53836424,0.425537063355575
"1","2005","NBS"," [kg]",34719796.3481631,8887554.67313945,0.360868894814673
"1","2006","NBS"," [kg]",11389926.26188,3382910.39951236,0.427803416754246
"1","2007","NBS"," [kg]",23568496.6516667,6663460.75430651,0.400041963042846
"1","2008","NBS"," [kg]",12189843.9947397,3595675.97159698,0.424549687087186
"1","2009","NBS"," [kg]",26892578.3410671,7103280.66620581,0.361559700025181
"1","2010","NBS"," [kg]",9491768.45699357,1016272.55208142,0.125403706546416
"1","2011","NBS"," [kg]",45045672.0068248,12092518.4134815,0.365239006596568
"1","2012","NBS"," [kg]",23928555.0140071,7347774.3006997,0.455131793534401
"1","2013","NBS"," [kg]",42537585.9265865,12658683.1099274,0.42841422015715
"1","2014","NBS"," [kg]",142758938.026886,40850826.3818104,0.412981413019568
"1","2015","NBS"," [kg]",134977460.471238,38292012.7826265,0.408400583577462
"1","2016","NBS"," [kg]",227268348.986267,60093259.0618919,0.377281264745711
"1","2017","NBS"," [kg]",140935398.170871,9844114.15157718,0.0830056023375816
"1","2018","NBS"," [kg]",228706342.100594,21458458.8420063,0.118545400103781
"1","2019","NBS"," [kg]",219905538.643172,14832288.6425447,0.0807474378964368
"1","2020","NBS"," [kg]",0.000487400943569915,0.000170748908899453,0.491495517295792
"1","2021","NBS"," [kg]",116517267.952229,8061393.1691172,0.0819537524151867
